title,datetime,summary,content,url
"셀트리온 ""CDMO로 제2의 도약""",2024.12.31.,자회사 바이오솔루션스 공식출범국내 20만L 규모 생산시설 구축2031년 연매출 3조원 달성 목표,"바이오시밀러의 글로벌 강자인 셀트리온이 바이오의약품 위탁개발생산(CDMO) 시장에 뛰어들면서 '제2의 도약'을 준비하고 있다. 셀트리온은 지난달 17일 100% 자회사인 셀트리온바이오솔루션스를 공식 출범시키며 차별화된 경쟁력과 서비스를 통해 CDMO 시장의 강자로 성장하겠다는 목표를 밝혔다.   12월 31일 제약바이오 업계에 따르면 글로벌 CDMO 시장은 2023년 약 24조 원 규모에서 연평균 10.9% 성장, 오는 2029년에는 40조원을 넘어설 전망이다. 바이오의약품 수요가 폭증하면서 시장은 가파르게 성장할 전망이고, 셀트리온은 비용 효율성을 극대화하고 고객 맞춤형 서비스로 차별화된 경쟁력을 갖출 계획이다.   생산 효율성과 품질을 극대화한 독자적 기술력을 기반으로 바이오솔루션스는 국내에 20만L 규모의 생산시설을 설계하고 있다. 초기에는 10만L 규모로 시작해 셀트리온그룹 내 바이오의약품 수요를 흡수하는 한편 고객사를 지속적으로 확보하고 과잉 투자를 막기 위해 시장의 상황에 따라 생산능력을 확대할 계획이다.   바이오솔루션스는 셀트리온이 20여 년간 축적한 의약품 제조 및 허가 노하우를 활용해 의약품 개발 '전(全) 주기'를 지원한다. 신약 후보물질 발굴부터 세포주 개발, 임상시험 계획, 허가, 상업 생산에 이르는 모든 과정을 자체적으로 수행해 고객 맞춤형 통합 서비스를 제공할 예정이다.   오는 2031년까지 CDMO 사업에서 3조원 매출을 낸다는 것이 서정진 셀트리온그룹 회장의 목표다. 특히 고부가가치 서비스 중심으로 운영해 1만L 규모당 최소 매출 1000억 원 이상을 기록하도록 사업을 꾸려갈 예정이며 목표 영업이익률은 30% 중반으로 잡았다.   vrdw88@fnnews.com 강중모 기자",https://n.news.naver.com/mnews/article/014/0005289562?sid=105
셀트리온 ‘다잘렉스’ 시밀러 3상 美 FDA 승인,2024.12.30.,요약 없음,"셀트리온이 미국 식품의약국(FDA)으로부터 다잘렉스(성분명 다라투무맙)의 바이오시밀러(CT-P44) 글로벌 임상 3상 진행 임상시험계획서(IND) 승인을 획득했다고 30일 밝혔다.셀트리온은 이번 승인을 바탕으로 불응성 또는 재발성 다발성 골수종 환자 총 486명을 대상으로 글로벌 임상 3상 절차에 돌입한다. 오리지널 의약품 다잘렉스와 CT-P44 간의 약동학, 유효성 및 안전성의 유사성 등을 입증할 계획이다.다잘렉스는 다발 골수종 세포의 표면에 존재하는 특정 단백질을 표적으로 결합해 암 세포의 성장을 막는 표적항암제다. 작년 기준 세계 시장 매출액은 약 97억4400만달러(한화 12조6672억원)에 달하는 항암제다. 미국과 유럽에서 각각 2029년, 2031년 물질특허가 만료될 예정이다.셀트리온은 CT-P44의 임상을 통해 신규 표적항암제 파이프라인을 추가하면서 항암제 포트폴리오를 한층 강화한다. 이번 미국 IND 승인을 기점으로 임상 3상 결과 확보에 집중하는 동시에 이미 IND 신청을 완료한 유럽을 포함한 글로벌 주요국에서도 임상 절차에 박차를 가한다.셀트리온은 앞서 혈액암 치료제 트룩시마, 유방암 및 위암 치료제 허쥬마, 전이성 직결장암 치료제 베그젤마 등 3개의 표적항암제를 미국, 유럽, 일본 등 글로벌 주요국에 출시했다. 8월에는 FDA로부터 키트루다 바이오시밀러(CT-P51)의 임상 3상 IND를 승인받아 본격적으로 임상에 돌입한 상태다.최근 비소세포폐암(NSCLC), 방광암 등 고형암을 대상으로 하는 항체·약물접합체(ADC) 파이프라인 ‘CT-P70’, ‘CT-P71’의 비임상 연구 결과를 공개하는 등 항암신약 개발에도 나서고 있다.셀트리온 관계자는 “신규 파이프라인 CT-P44가 세계 최대 항암 시장인 미국에서 임상 승인을 받으며 본격적인 임상 절차에 돌입하게 됐다”며 “세계 시장에서 이미 경쟁력을 입증한 3종 표적항암제를 비롯해 앞으로 확보할 면역항암제, ADC 신약 등 항암 항체 치료제 포트폴리오 확보에 최선을 다하겠다”고 전했다.셀트리온은 2030년까지 22개 바이오시밀러 포트폴리오를 구축, 세계 시장에서 점유율을 한층 더 끌어올리겠다는 중장기 전략을 세우고 있다.김상수 기자",https://n.news.naver.com/mnews/article/016/0002409174?sid=101
"[특징주]셀트리온, 1000억 자사주 추가 취득 결정에 3%↑",2024.12.30.,요약 없음,[이데일리 김응태 기자] 셀트리온이 1000억원 규모의 자사주 취득을 결정하면서 강세다.30일 엠피닥터에 따르면 오전 9시24분 셀트리온(068270)은 전거래일 대비 3.55% 오른 18만6800원에 거래되고 있다.셀트리온은 1000억원 규모의 자사주 매입을 취득하기로 결정했다고 지난 27일 공시했다. 취득 주식수는 54만6747주다. 취득기간은 이날부터 오는 2025년 3월28일까지다. 셀트리온의 자사주 매입 결정은 올해 들어 여섯 번째다. 셀트리온은 이번 자사주 매입을 포함해 올해 총 294만778주의 자사주를 취득하겠다는 계획을 밝혔다.,https://n.news.naver.com/mnews/article/018/0005915333?sid=101
"셀트리온, 자사주 54만주 추가 취득",2024.12.27.,"""기업·주주 가치 제고""","셀트리온은 오는 30일부터 장내매수를 통해 자사주 54만6747주를 취득한다고 27일 밝혔다. 이날 종가 기준으로 환산한 가치는 약 1000억원에 달한다.이번 건을 포함해 셀트리온은 올해 총 6번의 자사주 매입을 결정했다. 이를 통해 약 5600억원 규모의 자사주 294만778만주를 사들일 예정이다.소각도 병행하고 있다. 올해 342만9737주에 이어 내년 1월 301만1910주를 추가로 소각할 예정이다.공격적인 자사주 매입과 소각 배경에는 실적개선에도 기업가치가 저평가받고 있다는 판단이 깔렸다.셀트리온은 지난 3분기 누적 매출액 2조4936억원을 거두며 전년도 연간 매출을 넘었다. 내년까지 목표로 한 11개의 바이오시밀러 포트폴리오 구축도 이달 조기 달성했으나 주가는 연초 이후 약 20% 하락했다.셀트리온 관계자는 ""주주들께 드린 약속대로 시장이 안정화될 때까지 자사주 매입과 소각을 병행한다는 방침을 실행해 가고 있다""며 ""향후 실적으로 기업가치를 견인할 것이며 주주와 함께 성장하는 기업으로서 철학과 경영방침을 이어가겠다""고 밝혔다.",https://n.news.naver.com/mnews/article/648/0000031912?sid=101
"셀트리온, 자사주 1000억 추가 취득",2024.12.27.,요약 없음,"셀트리온이 약 1000억원(26일 종가 기준) 규모의 자사주 추가 매입을 결정했다고 27일 밝혔다. 취득 수량은 총 54만 6747주로, 오는 30일부터 장내 매수를 통해 취득할 계획이다.셀트리온은 ‘주주가치 제고를 최우선으로 고려하고 실천한다’는 주주들과의 약속을 적극 이행한다는 취지로 과감하고 지속적인 주주친화 정책을 전개하고 있다. 매분기 실적 경신과 올해 목표 매출 3조 5000억원 달성이 무난할 것으로 예상되는 상황에서 기업 가치에 대한 평가가 둔화됐다는 판단에 자사주 추가 매입을 결정한 것으로 보인다.이번 자사주 매입은 올해 들어 여섯 번째로, 지난 3월, 4월, 6월에 각각 약 750억원 규모, 10월, 11월에 각각 약 1000억원 규모의 자사주 매입을 결정한 바 있다. 이번 자사주 추가 매입으로 셀트리온은 올해 약 294만 778주의 자사주를 취득하게 됐다. 지난 18일 공시한 자사주 취득 결과에 이번 취득 결정 규모를 더하면 올해만 약 5360억원 규모에 이른다.셀트리온은 작년에도 약 1조 2390억원 규모의 자사주를 매입하는 등 주주가치 제고를 위한 정책을 꾸준히 이어가고 있다.특히 올해 1월 자사주 약 230만 9813주(약 5035억원), 4월 약 111만 9924주(약 1978억원), 12월 301만 1910주(약 5629억원) 등 총 1조 2642억원 규모로 자사주를 소각하는 등 자사주 취득과 소각을 병행하고 있다.셀트리온은 올해 3분기까지 연결기준 매출 2조 4936억원을 기록하며, 이미 지난해 연간 매출 2조 1764억원을 뛰어넘었다. 특히, 주력인 바이오시밀러 사업은 글로벌 전역에서 기존 제품의 시장 점유율 확대와 신규 입찰 수주가 이어지고 있다.셀트리온 관계자는 “주주들께 드린 약속대로 시장이 안정화될 때까지 자사주 매입과 소각을 병행한다는 방침을 실행해 가고 있다”며 “향후 기존 제품의 글로벌 시장 점유율 확대, 신제품 성장 등이 기대되는 만큼 실적으로 기업가치를 견인할 것이며 주주와 함께 성장하는 기업으로서 철학과 경영방침을 이어가겠다”고 말했다. r_start // r_end //",https://n.news.naver.com/mnews/article/009/0005420505?sid=105
"셀트리온, 자사주 1000억원 추가 취득 결의",2024.12.29.,요약 없음,"셀트리온이 약 1000억원 규모의 자사주 추가 매입을 결정했다. 취득 수량은 총 54만6747주로, 오는 30일부터 장내 매수를 통해 자사주를 취득할 계획이다.29일 셀트리온에 따르면 이번 자사주 추가 매입으로 회사는 올해 약 294만 778주의 자사주를 취득하게 됐다. 약 5360억원 규모다. 셀트리온 관계자는 ""'주주가치 제고를 최우선으로 고려하고 실천한다'는 주주들과의 약속을 적극 이행한다는 취지로 과감하고 지속적인 주주친화 정책을 전개하고 있다""고 밝혔다.셀트리온은 작년에도 약 1조2390억원 규모의 자사주를 매입하는 등 주주가치 제고를 위한 정책을 이어오고 있다. 또 올해 총 1조2642억원 규모로 자사주를 소각하는 등 자사주 취득과 소각을 병행하고 있다. 셀트리온은 올해 3분기까지 연결기준 매출 2조4936억원을 기록하며 지난해 연간 매출 2조1764억원을 뛰어넘었다.셀트리온은 다음달 미국 샌프란시스코에서 열리는 JP모건 헬스케어 콘퍼런스(JPM)에서 항체약물접합체(ADC) 항암신약 파이프라인 등 신약개발 성과 및 비전을 발표하고, 이달 출범한 의약품위탁개발생산(CDMO) 자회사 '셀트리온바이오솔루션스'의 본격적인 사업 추진에도 박차를 가할 계획이다.셀트리온 관계자는 ""회사는 주주들과의 약속대로 시장이 안정화될 때까지 자사주 매입과 소각을 병행한다는 방침을 실행해 가고 있다""며 ""향후 기존 제품의 글로벌 시장 점유율 확대, 신제품 성장 등이 기대되는 만큼 실적으로 기업 가치를 견인할 것이며 주주와 함께 성장하는 기업으로서 철학과 경영방침을 이어가겠다""고 말했다.",https://n.news.naver.com/mnews/article/029/0002925776?sid=105
"셀트리온, 다잘렉스 바이오시밀러 글로벌 임상3상 IND 승인",2024.12.27.,요약 없음,"셀트리온은 미국 식품의약국(FDA)으로부터 다잘렉스(성분명 다라투무맙) 바이오시밀러 'CT-P44'의 글로벌 임상 3상 진행을 위한 임상시험계획서(IND) 승인을 획득했다고 27일 밝혔다.셀트리온은 이번 승인을 바탕으로 불응성 또는 재발성 다발성 골수종 환자 총 486명을 대상으로 글로벌 임상 3상 절차에 돌입했다. 오리지널 의약품 다잘렉스와 CT-P44 간 약동학, 유효성 및 안전성의 유사성을 입증할 계획이다.다잘렉스는 다발 골수종 세포의 표면에 존재하는 특정 단백질을 표적으로 결합해 암 세포의 성장을 막는 표적항암제다. 다잘렉스의 지난해 기준 글로벌 시장 매출액은 약 97억4400만달러(약 12조6672억원)다. 미국과 유럽에서 각각 2029년, 2031년 물질특허가 만료될 예정이다.셀트리온은 CT-P44의 임상을 통해 신규 표적항암제 파이프라인을 추가하면서 항암제 포트폴리오를 한층 강화하게 됐다. 이번 미국 IND 승인을 기점으로 임상 3상 결과 확보에 집중하는 동시에 이미 IND 신청을 완료한 유럽을 포함한 글로벌 주요국에서도 임상 절차에 속도를 낸다는 전략이다.셀트리온은 앞서 혈액암 치료제 트룩시마, 유방암 및 위암 치료제 허쥬마, 전이성 직결장암 치료제 베그젤마 등 3개의 표적항암제를 미국, 유럽, 일본 등 글로벌 주요국에 출시했다. 추가로 지난 8월에는 FDA로부터 키트루다 바이오시밀러 'CT-P51'의 임상 3상 IND를 승인받았다.",https://n.news.naver.com/mnews/article/030/0003271658?sid=102
셀트리온 유방암·위암 치료제 日서 74% 점유율 달성,2024.12.26.,자가면역질환 치료제 등 전 제품 일본서 순항,"[서울경제] 은 유방암·위암 치료제 ‘허쥬마’가 일본에서 지난달 기준 시장점유율 74%를 기록했다고 26일 밝혔다.허쥬마는 일본에서 2021년 2분기 처음으로 오리지널 제품의 점유율을 넘어선 이후 3년 연속 선두를 지키고 있다. 이같은 성과는 2019년 8월 일본 유방암 시장에서 90% 이상을 차지하는 3주 요법 허가를 획득하는 등 제품 경쟁력을 입증한 데다 바이오시밀러에 우호적인 제도 환경, 현지 의약품 시장을 면밀히 분석한 맞춤형 판매 전략 등이 시너지 효과가 발휘된 결과로 풀이된다.일본에서 암은 바이오시밀러 우호 정책으로 분류되는 일본식 포괄수가제 ‘DPC’ 제도에 포함된 대표 질환군이다. DPC 제도에서 의료비는 일본 정부가 결정하는데 병원 입장에선 보다 저렴한 의약품을 처방하는 것이 절감된 비용만큼 수익을 얻을 수 있어 더 유리하다.또 가격이 낮은 의약품 사용으로 정부 환급금 및 본인 부담금 절감 효과도 누릴 수 있어 병원, 정부, 환자 모두에게 이익이 되는 정책으로 평가받는다.셀트리온 일본 법인은 의약품 처방에 영향력이 높은 주요 이해관계자(KOL)들을 대상으로 처방 선호도 증대 및 네트워크 강화를 이끄는 데 주력해 왔다. 현지 법인과 유통 파트너사가 제품을 각각 판매하는 영업 전략도 긍정적으로 작용했다.이런 전략을 바탕으로 또 다른 항암제 제품인 전이성 직결장암, 유방암 치료제 ‘베그젤마’도 올해 11월 기준 전년 동월 대비 3배 가량 대폭 오른 23%의 점유율을 기록했다. 특히 베그젤마는 지난해 일본에서 가장 늦게 상업화된 후발주자임에도 불구하고 출시 1년 만에 바이오시밀러 처방 2위를 차지했다.셀트리온은 후속 제품들 역시 일본 시장에 성공적으로 안착시킨다는 목표다. 이를 통해 일본에서 자가면역질환 치료제, 항암제에 이어 알레르기 질환, 안질환, 골 질환 등 신규 영역으로 제품 포트폴리오를 확대하며 경쟁력 강화에 나설 방침이다.셀트리온 관계자는 “아시아 주요 시장인 일본에서 셀트리온만의 제품 경쟁력과 차별화된 영업 전략, 우호적인 제도 기반 등이 더해지면서 허쥬마를 비롯해 출시된 모든 제품들이 시장 공략에 순항하며 압도적인 성과를 보여주고 있다”며 “향후 일본에 출시될 후속 제품들 역시 유의미한 성과를 이룰 수 있도록 판매 역량을 지속적으로 강화해 나갈 것”이라고 말했다.",https://n.news.naver.com/mnews/article/011/0004432275?sid=101
"셀트리온, '공간안전·안전관리 우수연구실' 인증 획득",2024.12.24.,“지속 가능 경영 실현”,"[서울경제] 은 최근 한국안전인증원의 '공간 안전 인증'과 과학기술정보통신부의 '안전관리 우수연구실 인증'을 획득했다고 24일 밝혔다.공간안전 인증은 소방청에서 감독하는 국내 유일의 기업 자율안전 평가로 안전을 중시하는 기업 문화를 정착시키고 국민 안전을 강화하기 위해 도입됐다.안전경영, 건축방재, 소방안전, 위험물안전 등 총 7개 항목과 이를 세분화한 143개의 항목 평가를 통해 80% 이상의 점수를 획득한 사업장에 수여된다.셀트리온은 이번 인증에 따라 화재안전조사 및 종합정밀점검 면제 혜택도 받게 됐다. 다만 종합정밀점검은 사업장 안전 및 효율성 강화를 위해 앞으로도 계속 실시할 방침이다.안전관리 우수연구실 인증은 과학기술정보통신부 주관으로 연구실의 자율적이고 체계적인 안전관리를 평가해 인증하는 제도다. 셀트리온 생명공학연구소는 문서 및 시스템 관리, 현장 활동 수준, 안전관리 관계자의 의식 등 주요 평가 항목에서 높은 점수를 받아 인증을 획득했다.셀트리온 생명공학연구소는 지난해 7월 신축된 시설로 개소 후 1년 반 만에 해당 인증을 획득했다. 이번 인증으로 2025년부터 2026년까지 정기 점검 면제 혜택을 받게 됐다.셀트리온 관계자는 “지난해 12월 공정안전관리(PSM) 평가에서 상위 5% 이내 사업장만 받을 수 있는 최고 등급인 ‘P(우수)등급’을 획득한 데 이어 올해는 공간안전 인증과 안전관리 우수연구실 인증을 동시에 받으며 안전성과 효율성을 입증했다”며 “앞으로도 연구 성과와 안전 관리를 균형 있게 발전시켜 지속 가능한 경영 체계를 구축해 나가겠다”고 말했다.",https://n.news.naver.com/mnews/article/011/0004431592?sid=101
"바이오시밀러 승인 속도전…셀트리온, 품목수 11개 돌파",2024.12.23.,악템라 시밀러 식약처 허가로당초 목표보다 1년 앞당겨,"셀트리온이 식품의약품안전처로부터 앱토즈마주를 허가받았다고 23일 발표했다. 앱토즈마주는 국내에서 허가받은 첫 악템라 바이오시밀러(바이오의약품 복제약)다.이날 허가로 셀트리온은 내년까지 구축할 예정이던 바이오시밀러 11종 포트폴리오를 올해 완성했다. 국내 바이오시밀러 쌍두마차인 삼성바이오에피스보다 두 종 더 많은 것이다.앱토즈마주의 오리지널 의약품 악템라는 스위스 대형 제약사 로슈가 개발한 자가면역질환 치료제다. 류머티즘 관절염, 전신형 소아 특발성 관절염 등의 치료에 쓰인다. 체내 염증 유발에 관여하는 인터류킨(IL)-6 단백질을 억제하는 약물로 지난해 글로벌 매출 26억3000만스위스프랑(약 4조원)을 기록했다.셀트리온은 국내뿐 아니라 유럽과 미국에서도 앱토즈마주 허가 절차를 밟고 있다. 셀트리온 관계자는 “유럽의약품청(EMA) 산하 약물사용자문위원회(CHMP)로부터 앱토즈마주 승인 ‘권고’ 의견을 획득했다”며 “미국 식품의약국(FDA)에도 품목허가를 신청했다”고 말했다.이번 허가로 셀트리온이 식약처 승인을 받은 바이오시밀러는 11종이 됐다. 자가면역질환 치료제 8종, 알레르기질환 치료제 1종, 안과질환 치료제 1종, 골질환 치료제 1종 등이다. 인터류킨 억제제는 스텔라라의 바이오시밀러 스테키마에 이어 두 번째 제품군을 추가하게 됐다. 스테키마는 국내, 유럽에 이어 이달 FDA의 허가를 받은 바이오시밀러다. 셀트리온은 2025년까지 11종, 2030년까지 22종의 바이오시밀러를 허가받을 계획이었는데 1차 목표인 11종 확보를 올해 조기 달성했다.셀트리온 관계자는 “글로벌 주요국에서도 허가 및 상업화 절차를 차질 없이 진행하겠다”고 말했다.",https://n.news.naver.com/mnews/article/015/0005073658?sid=105
